# SPDX-License-Identifier: GPL-3.0-or-later
# SPDX-FileCopyrightText: 2026 Hexproof contributors
# Generated by tools/forge-printings/generate.py; see printing-aliases.json.
# name	catalog set	catalog number	native set	native number
Archangel of Tithes	POTJ	2p	OTJ	2
Archangel of Tithes	POTJ	2s	OTJ	2
Archangel of Wrath	PDMU	3p	DMU	3
Archangel of Wrath	PDMU	3s	DMU	3
Archdruid's Charm	PMKM	151p	MKM	151
Archdruid's Charm	PMKM	151s	MKM	151
Archenemy's Charm	PEOE	88p	EOE	88
Archenemy's Charm	PEOE	88s	EOE	88
Archfiend of Depravity	PFRF	62s	PFRF	62
Archfiend of Despair	FRC	46	BBD	44
Archfiend of Ifnir	PAKH	78s	PAKH	78
Archfiend of the Dross	PONE	82p	ONE	82
Archfiend of the Dross	PONE	82s	ONE	82
Architect of the Untamed	PKLD	143s	KLD	143
Archivist	7ED	61★	7ED	61
Archivist	8ED	60★	8ED	60
Archivist	9ED	60★	9ED	60
Archivist of Oghma	PCLB	4s	CLB	4
Archmage Emeritus	PSTX	37p	STX	37
Archmage Emeritus	PSTX	37s	STX	37
Archmage of Runes	PFDN	30s	FDN	30
Archmage's Newt	POTJ	39p	OTJ	39
Archmage's Newt	POTJ	39s	OTJ	39
Archon of Cruelty	FRC	47	DSC	371
Archon of Cruelty	PMH2	75s	MH2	75
Archon of Emeria	PZNR	4p	ZNR	4
Archon of Emeria	PZNR	4s	ZNR	4
Archon of Sun's Grace	PTHB	3p	THB	3
Archon of Sun's Grace	PTHB	3s	THB	3
Archon of the Wild Rose	PWOE	1p	WOE	1
Archon of the Wild Rose	PWOE	1s	WOE	1
Archpriest of Iona	PZNR	5p	ZNR	5
Archpriest of Iona	PZNR	5s	ZNR	5
Archpriest of Shadows	PMOM	89p	MOM	89
Archpriest of Shadows	PMOM	89s	MOM	89
Archway of Innovation	PMH3	214s	MH3	214
Arclight Phoenix	PGRN	91p	GRN	91
Arclight Phoenix	RVR	331z	RVR	331
Arco-Flagellant	40K	29★	40K	29
Ardent Militia	7ED	2★	7ED	2
Ardent Militia	8ED	3★	8ED	3
